"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","页面网址","页面标题","采集时间"
"6***4","PLUS会员[试用]","star5","入手挺不错，但还不知道有什么隐患没有，卖家服务挺给力，就是物流慢点","2017-11-09 23:19","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:35.5629124"
"l***l","京享值98742","star5","手机收到了，第一感觉这手机真是挺沉的，样子确实很漂亮，因为送人用，使用方面就不评论了。","2017-11-09 15:00","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:36.7637115"
"n***p","PLUS会员","star5","手机第2天就收到了，是送人的，没拆，一看就是正品，还送了壳和膜。","2017-11-10 16:39","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:36.8767875"
"j***c","PLUS会员","star5","都是原封原装的…真的很棒…在这个时间节点…几乎不加价的买到真的是赚到了…","2017-11-09 12:42","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:37.0088748"
"仰***空","PLUS会员[试用]","star5","手机收到用了两天，苹果技术比别的全屏高一点，刚开始有点不习惯。","2017-11-09 20:37","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:37.1299561"
"獨***仙","PLUS会员","star5","手机是不错，关键物流太不给力了，3天才到货，下单后隔天就降价了……","2017-11-08 12:16","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:39.3834570"
"胖***7","京享值19899","star5","东西不错  不像别人说的 什么不是行货啊什么的 就是手机没了home键了用的怪怪的","2017-11-09 20:24","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:39.4895263"
"上***1","PLUS会员","star5","发货超快，第二天就送到了，最新款的还是不错的，屏幕大，手感超棒","2017-11-06 11:21","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:39.5865923"
"j***o","京享值35145","star5","送货很快，还可以................................","2017-11-11 00:46","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:39.6866583"
"你***么","京享值16361","star5","查过是国行正品","2017-11-09 13:19","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:39.7867256"
"送***漫","PLUS会员","star5","手机挺好看是正品唯一的缺点就是齐刘海地方好多好多APP用不到","2017-11-08 07:54","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:40.4051374"
"k***3","PLUS会员","star5","质量很好激活以后速度也很快，非常满意，以后买手机就在这家店","2017-11-10 22:07","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:40.5132094"
"Z***V","PLUS会员","star5","系统不兼容问题是苹果的事，希望你们这些无知小儿别再黑商户了","2017-11-09 16:10","0","3","[购买8天后追评]",,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:40.6242821"
"A***r","PLUS会员","star5","还不错，发的是京东快递，安徽省隔天就到，东西保护的也很好！","2017-11-06 19:56","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:40.9615080"
"杨***Y","PLUS会员","star5","昨天中午下单，今天中午就到手！京东快递这速度可以很棒棒！","2017-11-21 14:17","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:41.0885914"
"牛***x","京享值12965","star4","手机上手感觉特别好，刘海也没太大影响，白色没有黑色漂亮，但是也还好，毕竟放后壳了，手机是国行，激活后还有一年保修期。配件也是原装的，强力推荐买iPhonex，faceID很好用。店家联系时，回复速度有点慢，有时还不回，双十一物流也很慢，不过拿到手时激动的不行，这些就都不在意了。","2017-11-09 17:57","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:43.3430942"
"喆***黙","PLUS会员","star5","物流速度还可以，手机是国行正品，开盒的瞬间就泪奔了！！！","2017-11-20 21:02","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:43.4621722"
"Y***3","京享值25736","star5","是正品行货.   在官网也查询过值得这个价钱.  第一次在京东买手机实在是好","2017-11-17 20:17","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:43.5662428"
"艺***妹","京享值34982","star5","苹果的手机一直都是体验一级棒，就是这个刘海真要好好去适应一下！整体效果不错！","2017-11-11 23:48","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:43.6943275"
"蒋***潇","PLUS会员","star5","不错啊，价格公道良心，不过还是建议买黑色，白色有点像假的","2017-11-09 18:54","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:43.8044014"
"拿***胡","PLUS会员","star5","京东自营抢不到，转到第三方购买，实际证明货还是很靠谱的。","2017-11-09 07:51","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:43.9104708"
"HG何广","PLUS会员","star5","用了一天了，感觉还不错，外观我喜欢手感还不错，是正品国行","2017-11-10 10:04","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:44.0175428"
"j***8","京享值9626","star5","东西还不错，肯定是正品，只是快递真的太慢了，让我整整等了8天，等到花都谢了","2017-11-19 09:11","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:44.5128727"
"趁***吧","京享值11307","star5","用了两天还可以，续航能力也不错，挺满意的。就是物流有一点点慢。其他都还好。","2017-11-15 13:58","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:44.6309513"
"7***n","PLUS会员[试用]","star5","手机不错 但送的东西不怎么样 物流可能因为双十一比较慢","2017-11-14 15:29","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:44.7550339"
"jd_136392lgzj","京享值14451","star5","很好，查询了是正版，只是第一天开机激活出现了一点小问题，后来也没有出现了。","2017-11-14 21:17","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:47.0105362"
"B***u","PLUS会员","star5","不错，4号下午三点下单，5号上午十点拿到，目前一切正常","2017-11-05 17:50","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:47.1216101"
"r***b","京享值12559","star5","很好,我等的太急了，老是催店家，哈哈，满分，给女朋友用了，东西真的很好。","2017-11-16 23:22","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:47.2266808"
"咔***1","PLUS会员","star5","刚开售立马抢购一台，感觉超棒，太智能了，扫脸太炫酷了","2017-11-09 14:47","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:47.3317507"
"小***媒","PLUS会员","star5","加价200买来的，值这个价吧，毕竟提前半个月拿到手了","2017-11-07 20:19","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:47.4478281"
"静***儿","PLUS会员","star5","京东值得信赖，一直在京东购物，发货快，快递小哥也很好","2017-11-07 14:53","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:47.5548994"
"临***鹰","PLUS会员","star5","正品！发的都是现货，当天买，第二天到了。用着真爽！","2017-11-15 19:19","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:47.6639720"
"杜***0","PLUS会员","star5","这么贵的手机，头一次在京东上购买，物流和质量很好。","2017-11-13 19:43","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:47.7820507"
"胜***E","PLUS会员","star5","手机是晚上激活的，充电处有轻微损伤，手感超级舒服。","2017-11-10 18:42","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:47.8991273"
"j***1","PLUS会员","star5","用起来不错，面部解锁挺好用，握感很好，可以单手操作","2017-11-09 16:42","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:48.0682400"
"j***e","京享值18333","star5","手机是买给老婆的生日礼物，今天老婆生日，刚好今天收到，货真价实，给商家点赞，给京东物流点赞，给快递小哥点赞！","2017-11-15 11:32","2","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:50.8641027"
"E***_","京享值40173","star5","特别好用，面容ID解锁特别快，不用再为了手上有汗或者别的原因解不开touch ID 而烦恼了，只需看一眼iPhonex，秒解锁，屏幕长度比plus长，宽度比plus窄一点，总的来说屏幕不比plus小，别再黑齐刘海和红绿灯了，用了就知道这款手机的好处了","2017-11-08 08:46","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:51.0092000"
"袜***香","京享值19074","star5","除了送的钢化膜被刮花了不过不重要  机器是正品 放心买 商家也很耐心","2017-11-09 09:32","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:51.1162700"
"回***秋","京享值10517","star5","新手机感觉就是不一样，很好很不错，准备下去配个漂亮的手机壳和膜，好评","2017-11-07 11:03","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:51.2293454"
"张***n","PLUS会员","star5","目前没啥问题，原价买的，机子没什么问题，可以购买","2017-11-07 16:58","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:51.3514267"
"w***a","PLUS会员","star5","手机不错，很满意。手机套质量能再好些，就更满意了","2017-11-06 19:13","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:51.4564979"
"j***v","PLUS会员","star5","大品牌，下次有活动优惠还会再买的。很不错的宝贝","2017-11-17 22:26","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:51.5655693"
"1***p","京享值24622","star5","收到啦，就是物流有点慢哦，可能赶上双十一了，手机其他一切完好，正品","2017-11-16 21:25","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:51.6786452"
"l***8","PLUS会员","star5","全5星好评！X就是强大！不是一般手机比的了的！","2017-11-11 19:28","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:51.7967245"
"w***6","PLUS会员","star5","没什么可说的，正品无误，用起来很不错，给个赞！","2017-11-10 15:51","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:51.9198059"
"j***e","京享值18333","star5","手机是买给老婆的生日礼物，今天老婆生日，刚好今天收到，货真价实，给商家点赞，给京东物流点赞，给快递小哥点赞！","2017-11-15 11:32","2","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:54.6005907"
"E***_","京享值40173","star5","特别好用，面容ID解锁特别快，不用再为了手上有汗或者别的原因解不开touch ID 而烦恼了，只需看一眼iPhonex，秒解锁，屏幕长度比plus长，宽度比plus窄一点，总的来说屏幕不比plus小，别再黑齐刘海和红绿灯了，用了就知道这款手机的好处了","2017-11-08 08:46","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:54.7046613"
"袜***香","京享值19074","star5","除了送的钢化膜被刮花了不过不重要  机器是正品 放心买 商家也很耐心","2017-11-09 09:32","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:54.8007253"
"回***秋","京享值10517","star5","新手机感觉就是不一样，很好很不错，准备下去配个漂亮的手机壳和膜，好评","2017-11-07 11:03","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:54.9057946"
"张***n","PLUS会员","star5","目前没啥问题，原价买的，机子没什么问题，可以购买","2017-11-07 16:58","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:55.0078619"
"w***a","PLUS会员","star5","手机不错，很满意。手机套质量能再好些，就更满意了","2017-11-06 19:13","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:55.1199372"
"j***v","PLUS会员","star5","大品牌，下次有活动优惠还会再买的。很不错的宝贝","2017-11-17 22:26","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:55.2340126"
"1***p","京享值24622","star5","收到啦，就是物流有点慢哦，可能赶上双十一了，手机其他一切完好，正品","2017-11-16 21:25","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:55.4411518"
"j***f","京享值26424","star5","拿到手了质感很好，反应很快，朋友说他这种反应迟钝的人快驾驭不了了","2017-11-13 08:36","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:55.6683025"
"金***4","PLUS会员","star5","手机是正品，也很流畅，价格也公道，很好不错。","2017-11-10 14:26","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:55.9614971"
"y***0","PLUS会员","star5","非常好，送货快，技术原装未拆封，包装也很安全","2017-11-07 17:27","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:58.2170006"
"陶***洋","PLUS会员","star5","质量非常好，物流速度也特别快，京东值得信赖","2017-11-21 21:46","0","0",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:58.3250719"
"l***d","PLUS会员","star5","国行正品，用起来很流畅，发货也快，太满意啦","2017-11-12 16:16","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:58.4191339"
"a***l","京享值15880","star5","国行正品，京东物流也非常快。低于官网的售价还是现货，谁买谁知道","2017-11-08 00:59","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:58.5131979"
"j***5","京享值13145","star5","哈哈哈哈，正品没问题，评论啥的网上都有，菜?就不多做评价了。","2017-11-07 11:32","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:58.6412825"
"散***机","京享值9774","star5","第一次购买，正品行货，很不错的一次购物，只不过价格随时在浮动。","2017-11-07 09:35","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:58.7613619"
"A***造","京享值20692","star5","好东西正在熟练掌握功能中 是正规手机 可以放心购买 送给媳妇的","2017-11-06 13:57","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:58.8954512"
"j***5","京享值22679","star5","买的时候战战兢兢，收到以后真的是原封包装的，感谢卖家，值得买","2017-11-15 18:04","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:59.0105278"
"星***士","PLUS会员","star5","机子很漂亮，信赖京东的购物，会继续关注的","2017-11-15 10:34","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:59.6579597"
"1***3","PLUS会员","star5","没有想象的那么大，总感觉有点小。。。。。","2017-11-13 18:59","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 09:59:59.7770383"
"兔***糖","PLUS会员","star5","手机不错，是正品。物流也很快。给老公买的","2017-11-13 16:21","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:02.0465499"
"j***8","PLUS会员","star5","正品国行，开始有点小担心，收到货就放心了","2017-11-12 23:37","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:02.1496185"
"j***v","PLUS会员","star5","手机不错，好用没检测过不过感觉应该是正品","2017-11-12 12:54","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:02.2626938"
"f***e","京享值10402","star5","手机没问题，可以放心买。送的壳和膜很一般，但不影响购买体验。","2017-11-09 17:15","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:02.3577572"
"j***1","京享值13209","star5","货很好，商家包装和送货都很快，麻烦商家了","2017-11-08 13:07","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:02.4828405"
"唐***哥","PLUS会员","star5","东西很惊艳，很喜欢呢，希望能用的久一点～","2017-11-07 15:57","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:02.6069244"
"J***s","京享值25087","star5","在自营店没抢到京东给推荐的店才过来的 查过了 正品 速度挺快","2017-11-06 18:36","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:02.7139944"
"隔***2","京享值59393","star5","手机还是不错，序列码什么的我还没有查，看起来应该没什么问题","2017-11-19 00:32","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:02.8300730"
"南侠小召","PLUS会员","star5","真品，放心购买大家，三天收到的货。给力","2017-11-13 14:26","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:02.9461510"
"晴***天","京享值20051","star5","不错发货很速度 两天就拿到了。手感很好，要抛弃我的小6了～","2017-11-08 13:13","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:03.0732343"
"j***0","PLUS会员","star5","加价买的，手感很好，价格6000差不多","2017-11-07 12:55","0","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:05.6979818"
"jd_150518dja","京享值9879","star5","手机收到了！京东的效率还是蛮高的、客服也很给力！","2017-11-06 19:43","1","2",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:05.8060545"
"x***9","京享值16614","star5","很好不错，快递挺给力的。产品一如既往的好，用段时间再追评","2017-11-20 22:01","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:05.9021197"
"1***p","京享值10017","star5","手机是正品国行，没有任何问题！卖家态度不错，以后还会来的","2017-11-17 20:57","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:05.9941804"
"我***大","PLUS会员","star5","除了价格 略有点卡顿 系统更新没跟上","2017-11-17 11:35","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:06.0932464"
"j***s","PLUS会员[试用]","star5","不错 双11买的 物流也很快 很满意","2017-11-17 01:10","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:06.1993164"
"i***8","PLUS会员","star5","贵。一般般、没什么特别。只是全屏而已","2017-11-14 23:22","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:06.3153937"
"T***g","PLUS会员","star5","使用满意，是正品，会看情况再来买的。","2017-11-12 10:51","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:06.4264683"
"唐***9","京享值14375","star5","还行，就是没有发票，刚刚找客服，说三个工作日发，希望快点","2017-11-10 10:29","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:06.5455463"
"r***8","京享值19029","star5","刚买第二天就掉了四百....机器不错，手感棒 操作流畅！","2017-11-07 05:17","0","0",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:06.6846403"
"j***祈","PLUS会员","star5","外观很漂亮，速度很流畅，非常喜欢。","2017-11-22 08:47","0","0",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:09.4114564"
"O***仔","PLUS会员","star5","真的挺不错的，正品。速度也非常的快。","2017-11-05 16:11","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:09.5125231"
"l***1","京享值29863","star5","国行正品，手机真的不错，就是送的钢化膜到这碎了。。。。","2017-11-11 22:34","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:09.6065851"
"小***帅","京享值10282","star5","收到了，手机是未激活的正品，就是送的膜小了，不能全覆盖","2017-11-13 00:20","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:09.7166590"
"l***9","PLUS会员","star5","心仪的手机已经收到并激活使用，完美","2017-11-07 12:55","0","1",,,"https://item.jd.com/16580907535.html#comment","Apple 苹果 iPhone X 全面屏手机 银色 全网通 64GB【图片 价格 品牌 报价】-京东","2017-11-22 10:00:09.8177257"
